Day fraction since midnight on 10/23/2019	water pump control ()	coag pump control ()	clay pump control ()	waste pump control ()
0.59781912	0.00000000	NaN	NaN	NaN
0.59787686	NaN	NaN	NaN	NaN
0.59793460	NaN	NaN	NaN	NaN
0.59799233	NaN	NaN	NaN	NaN
0.59805007	NaN	NaN	NaN	NaN
0.59810782	NaN	NaN	NaN	NaN
0.59816556	NaN	NaN	NaN	NaN
0.59822330	NaN	NaN	NaN	NaN
0.59828103	NaN	NaN	NaN	NaN
0.59833877	NaN	NaN	NaN	NaN
0.59839651	NaN	NaN	NaN	NaN
0.59845425	NaN	NaN	NaN	NaN
0.59851198	NaN	NaN	NaN	NaN
0.59856972	NaN	NaN	NaN	NaN
0.59862746	NaN	NaN	NaN	NaN
0.59868521	NaN	NaN	NaN	NaN
0.59874294	NaN	NaN	NaN	NaN
0.59880068	NaN	NaN	NaN	NaN
0.59885842	NaN	NaN	NaN	NaN
0.59891616	NaN	NaN	NaN	NaN
0.59897389	NaN	NaN	NaN	NaN
0.59903163	NaN	NaN	NaN	NaN
0.59908937	NaN	NaN	NaN	NaN
0.59914711	NaN	NaN	NaN	NaN
0.59920484	NaN	NaN	NaN	NaN
0.59926260	NaN	NaN	NaN	NaN
0.59932033	NaN	NaN	NaN	NaN
0.59937807	NaN	NaN	NaN	NaN
0.59943580	NaN	NaN	NaN	NaN
0.59949354	NaN	NaN	NaN	NaN
0.59955128	NaN	NaN	NaN	NaN
0.59960902	NaN	NaN	NaN	NaN
0.59966675	NaN	NaN	NaN	NaN
0.59972449	NaN	NaN	NaN	NaN
0.59978223	NaN	NaN	NaN	NaN
0.59983998	NaN	NaN	NaN	NaN
0.59989771	NaN	NaN	NaN	NaN
0.59995545	NaN	NaN	NaN	NaN
0.60001319	NaN	NaN	NaN	NaN
0.60007093	NaN	NaN	NaN	NaN
0.60012866	NaN	NaN	NaN	NaN
0.60018640	NaN	NaN	NaN	NaN
0.60024414	NaN	NaN	NaN	NaN
0.60030189	NaN	NaN	NaN	NaN
0.60035976	NaN	NaN	NaN	NaN
0.60041763	NaN	NaN	NaN	NaN
0.60047552	NaN	NaN	NaN	NaN
0.60053338	NaN	NaN	NaN	NaN
0.60059125	NaN	NaN	NaN	NaN
0.60064912	NaN	NaN	NaN	NaN
0.60070699	NaN	NaN	NaN	NaN
0.60076486	NaN	NaN	NaN	NaN
0.60082273	NaN	NaN	NaN	NaN
0.60088060	NaN	NaN	NaN	NaN
0.60093847	NaN	NaN	NaN	NaN
0.60099634	NaN	NaN	NaN	NaN
0.60105422	NaN	NaN	NaN	NaN
0.60111209	NaN	NaN	NaN	NaN
0.60116996	NaN	NaN	NaN	NaN
0.60122782	NaN	NaN	NaN	NaN
0.60128569	NaN	NaN	NaN	NaN
0.60134356	NaN	NaN	NaN	NaN
0.60140143	NaN	NaN	NaN	NaN
0.60145930	NaN	NaN	NaN	NaN
0.60151717	NaN	NaN	NaN	NaN
0.60157504	NaN	NaN	NaN	NaN
0.60163292	NaN	NaN	NaN	NaN
0.60169079	NaN	NaN	NaN	NaN
0.60174866	NaN	NaN	NaN	NaN
0.60180653	NaN	NaN	NaN	NaN
0.60186440	NaN	NaN	NaN	NaN
0.60192227	NaN	NaN	NaN	NaN
0.60198014	NaN	NaN	NaN	NaN
0.60203802	NaN	NaN	NaN	NaN
0.60209587	NaN	NaN	NaN	NaN
0.60215374	NaN	NaN	NaN	NaN
0.60221163	NaN	NaN	NaN	NaN
