Day fraction since midnight on 10/26/2019	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.44201123	-999.00000000	-999.00000000	0.23980180	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44206911	-999.00000000	-999.00000000	0.25901423	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44212697	-999.00000000	-999.00000000	0.23980180	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44218484	-999.00000000	-999.00000000	0.25809413	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44224271	-999.00000000	-999.00000000	0.28650834	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44230059	-999.00000000	-999.00000000	0.31036748	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44235846	-999.00000000	-999.00000000	0.33883305	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44241632	-999.00000000	-999.00000000	0.36730375	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44247419	-999.00000000	-999.00000000	0.39116798	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44253206	-999.00000000	-999.00000000	0.41963355	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44258993	-999.00000000	-999.00000000	0.44368266	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44264780	-999.00000000	-999.00000000	0.46748528	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44270568	-999.00000000	-999.00000000	0.49597139	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44276354	-999.00000000	-999.00000000	0.51409938	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44282141	-999.00000000	-999.00000000	0.54314525	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44287929	-999.00000000	-999.00000000	0.57167757	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44293716	-999.00000000	-999.00000000	0.59555722	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44299503	-999.00000000	-999.00000000	0.62399197	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44305290	-999.00000000	-999.00000000	0.64780999	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44311077	-999.00000000	-999.00000000	0.67627557	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44316865	-999.00000000	-999.00000000	0.70022710	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44322650	-999.00000000	-999.00000000	0.72408621	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44328437	-999.00000000	-999.00000000	0.75241312	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44334224	-999.00000000	-999.00000000	0.77055651	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44340012	-999.00000000	-999.00000000	0.79900667	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44345799	-999.00000000	-999.00000000	0.82737467	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44351586	-999.00000000	-999.00000000	0.85586078	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
Day fraction since midnight on 10/26/2019	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.44509000	-999.00000000	-999.00000000	0.23980180	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44514787	-999.00000000	-999.00000000	0.27182173	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44520574	-999.00000000	-999.00000000	0.29564492	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44526360	-999.00000000	-999.00000000	0.32016654	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44532147	-999.00000000	-999.00000000	0.34844727	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44537934	-999.00000000	-999.00000000	0.37220885	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44543721	-999.00000000	-999.00000000	0.40040741	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44549508	-999.00000000	-999.00000000	0.41853543	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44555297	-999.00000000	-999.00000000	0.44696510	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44561083	-999.00000000	-999.00000000	0.47323275	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44566870	0.59944355	-999.00000000	0.50013720	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44572658	0.59113395	-999.00000000	0.52654864	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44578444	0.58707970	-999.00000000	0.55288306	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44584231	0.58543968	-999.00000000	0.57892475	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44590018	0.59076828	-999.00000000	0.60488428	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44595805	0.58845317	-999.00000000	0.63092598	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44601592	0.58543158	-999.00000000	0.65692658	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44607379	0.58260095	-999.00000000	0.68298882	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44613167	0.57627690	-999.00000000	0.70900998	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44618954	0.58049828	-999.00000000	0.73501573	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44624741	0.57918006	-999.00000000	0.75864891	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44630527	0.57221216	-999.00000000	0.78469574	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44636314	0.58220857	-999.00000000	0.81073744	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44642101	0.58269936	-999.00000000	0.83684076	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44647888	0.57635391	-999.00000000	0.86314949	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44653675	0.58019090	-999.00000000	0.88956094	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
