Day fraction since midnight on 11/23/2019	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PAC Flow Rate (mL/s)	drain control ()	coagulant pump ()	clay pump ()	clay flow rate (mL/s)	waste pump ()
0.60905995	2.73113990	2.58236289	0.00363188	0.00000000	0.00000000	0.00000000	0.00164535	0.00000000
0.60908279	2.73113990	2.58236289	0.00363188	0.00000000	0.00000000	0.00000000	0.00164535	0.00000000
0.60908311	2.73113990	2.58236289	0.00363188	0.00000000	0.00000000	0.00000000	0.00221161	0.00000000
0.60909470	2.72568536	2.58236289	0.00363188	0.00000000	0.00000000	0.00000000	0.00227390	0.00000000
0.60910627	2.72347593	2.58236289	0.00363188	0.00000000	0.00000000	0.00000000	0.00232925	0.00000000
0.60911786	2.72144318	2.54046154	0.00363188	0.00000000	43.17977528	7.85383208	0.00238305	42.25352113
0.60912943	2.72004151	2.54046154	0.00363188	0.00000000	43.17977528	8.15113095	0.00246521	42.25352113
0.60914101	2.71897459	2.54046154	0.00363188	0.00000000	43.17977528	8.33686003	0.00250995	42.25352113
0.60915260	2.71791244	2.53440046	0.00363188	0.00000000	43.17977528	8.54441516	0.00257182	42.25352113
0.60916417	2.71694136	2.50475502	0.00363188	0.00000000	43.17977528	8.74836234	0.00263317	42.25352113
0.60917576	2.71585917	2.50287294	0.00363188	0.00000000	43.17977528	8.89530495	0.00269481	42.25352113
0.60918734	2.71585917	2.50287294	0.00363188	0.00000000	43.17977528	9.12946754	0.00274750	42.25352113
0.60919892	2.71482539	2.56463289	0.00363188	0.00000000	43.17977528	9.33341876	0.00280869	42.25352113
0.60921050	2.71397042	2.62725306	0.00363188	0.00000000	43.17977528	9.50695760	0.00286121	42.25352113
0.60922208	2.71333003	2.63386822	0.00363188	0.00000000	43.17977528	9.71373264	0.00292324	42.25352113
0.60923366	2.71270370	2.61411500	0.00363188	0.00000000	43.17977528	9.80208610	0.00296686	42.25352113
0.60924525	2.71220660	2.62568092	0.00363188	0.00000000	43.17977528	10.09345354	0.00303670	42.25352113
0.60925682	2.71177793	2.68211102	0.00363188	0.00000000	43.17977528	10.21201934	0.00308938	42.25352113
0.60926841	2.71079373	2.71954918	0.00363188	0.00000000	43.17977528	10.41669255	0.00315102	42.25352113
0.60927999	2.71044970	2.76417708	0.00363188	0.00000000	43.17977528	10.59157732	0.00318659	42.25352113
0.60929157	2.71045804	2.83603096	0.00363188	0.00000000	43.17977528	10.80384727	0.00325027	42.25352113
0.60930315	2.71047950	2.95886326	0.00363188	0.00000000	43.17977528	11.00545051	0.00331076	42.25352113
