Day fraction since midnight on 10/27/2019	Pressure Sensor (volts)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.00000914	0.00717806	0.60604805	793.35595703	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00006700	0.00731727	0.60635829	788.02905273	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00012487	0.00714364	0.60637170	791.76409912	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00018274	0.00731489	0.60610318	787.99841309	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00024061	0.00721336	0.60554165	788.25781250	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00029848	0.00731653	0.60615337	805.88488770	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00035637	0.00724507	0.60618597	858.04962158	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00041423	0.00729113	0.60637403	917.41400146	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00047210	0.00722891	0.60826355	957.68499756	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00052998	0.00735870	0.60738140	993.11004639	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00058785	0.00723978	0.60690260	1043.65686035	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00064572	0.00731414	0.60749859	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00070358	0.00727693	0.60632890	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00076146	0.00726578	0.60616636	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00081932	0.00726365	0.60685360	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00087719	0.00727706	0.60841024	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00093506	0.00728825	0.60894191	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00099295	0.00730630	0.60842764	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00105081	0.00728715	0.60768586	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00110868	0.00728418	0.60724688	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00116655	0.00731645	0.60802662	1089.39501953	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00122443	0.00716389	0.60728520	1086.51171875	0.00060647	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00128229	0.00732789	0.60654008	1036.86413574	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00134016	0.00722176	0.60664350	998.93133545	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00139803	0.00734637	0.60674298	985.66644287	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00145590	0.00720274	0.60629088	972.47491455	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00151378	0.00728103	0.60557187	951.33447266	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00157165	0.00719374	0.60548562	943.78192139	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00162952	0.00737013	0.60583878	930.58813477	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00168739	0.00720323	0.60641837	926.07965088	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00174526	0.00736648	0.60663891	935.85693359	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00180314	0.00723818	0.60626477	965.29211426	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00186100	0.00735056	0.60611218	1028.77343750	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00191887	0.00726383	0.60592926	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00197674	0.00727108	0.60585463	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00203461	0.00720779	0.60621727	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00209248	0.00735175	0.60615033	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00215035	0.00719325	0.60659134	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00220823	0.00732273	0.60646671	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00226611	0.00723957	0.60666066	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00232398	0.00729483	0.60644042	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00238184	0.00726391	0.60540211	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00243971	0.00731478	0.60466313	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00249758	0.00725984	0.60512018	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00255546	0.00735602	0.60440785	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00261332	0.00723496	0.60510808	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00267119	0.00729310	0.60432392	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00272907	0.00731150	0.60397512	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00278694	0.00717397	0.60396767	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00284481	0.00725268	0.60398322	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00290269	0.00726066	0.60419631	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00296055	0.00725174	0.60444736	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00301842	0.00728092	0.60432833	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00307629	0.00727319	0.60392141	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00313416	0.00723001	0.60370654	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00319203	0.00734735	0.60446322	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00324990	0.00720372	0.60414624	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00330778	0.00732176	0.60380137	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00336564	0.00723237	0.60434657	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00342353	0.00731773	0.60387719	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00348139	0.00723115	0.60442364	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00353926	0.00729643	0.60408896	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00359713	0.00719708	0.60404128	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00365500	0.00735572	0.60420215	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00371287	0.00719586	0.60414892	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00377075	0.00734420	0.60490066	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00382861	0.00726245	0.60469282	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00388648	0.00732190	0.60472220	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00394435	0.00724453	0.60390246	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00400224	0.00736693	0.60346305	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00406010	0.00724372	0.60402250	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00411798	0.00738355	0.60442287	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00417584	0.00726395	0.60496551	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00423372	0.00735296	0.60440052	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00429158	0.00733327	0.60390419	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00434946	0.00734970	0.60383153	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00440732	0.00731888	0.60352933	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00446519	0.00737734	0.60429567	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00452306	0.00730810	0.60439026	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00458093	0.00736073	0.60492611	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00463881	0.00731131	0.60473859	1100.00000000	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
