Day fraction since midnight on 11/4/2019	Pressure Sensor (volts)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.65049438	-0.00014655	-999.00000000	-999.00000000	0.01920160	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65055360	-0.00016302	-999.00000000	-999.00000000	0.01920160	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65056351	0.00076969	-999.00000000	-999.00000000	0.01920160	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65057502	0.00099184	-999.00000000	-999.00000000	0.01920160	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65058655	0.00099955	-999.00000000	-999.00000000	0.02024040	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65059986	0.00102427	-999.00000000	-999.00000000	0.02024040	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65060958	0.00102628	-999.00000000	-999.00000000	0.02024040	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65062111	0.00103353	-999.00000000	-999.00000000	0.02144578	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65063373	0.00102004	-999.00000000	-999.00000000	0.02144578	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65064415	0.00103062	-999.00000000	-999.00000000	0.02144578	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65065567	0.00102870	-999.00000000	-999.00000000	0.02274194	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65067022	0.00102950	-999.00000000	-999.00000000	0.02274194	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65067871	0.00101822	-999.00000000	-999.00000000	0.02334443	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65069024	0.00099614	-999.00000000	-999.00000000	0.02394569	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65070405	0.00101258	-999.00000000	-999.00000000	0.02394569	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
0.65071327	0.00100453	-999.00000000	-999.00000000	0.02454695	0.12000000	-999999.00000000	1200.00000000	0.00000000	0.00000000	0.00000000
Day fraction since midnight on 11/4/2019	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.65072478	0.34198710	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65073797	-999.00000000	-999.00000000	0.24982556	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65074783	-999.00000000	-999.00000000	0.24982556	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65075935	-999.00000000	-999.00000000	0.25860213	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65077087	-999.00000000	-999.00000000	0.26416863	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65078238	-999.00000000	-999.00000000	0.26756782	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65079391	-999.00000000	-999.00000000	0.27458088	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65080543	-999.00000000	-999.00000000	0.27701399	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65081695	-999.00000000	-999.00000000	0.28362325	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65082847	-999.00000000	-999.00000000	0.28694065	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65084000	-999.00000000	-999.00000000	0.29502204	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65085151	-999.00000000	-999.00000000	0.29952023	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65086303	-999.00000000	-999.00000000	0.30422799	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65087455	-999.00000000	-999.00000000	0.30854214	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65088607	-999.00000000	-999.00000000	0.31341346	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65089760	-999.00000000	-999.00000000	0.32041120	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65090911	-999.00000000	-999.00000000	0.32372350	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65092063	-999.00000000	-999.00000000	0.32822679	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65093215	-999.00000000	-999.00000000	0.33272497	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65094367	-999.00000000	-999.00000000	0.33915021	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65095520	-999.00000000	-999.00000000	0.34401642	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
